行业代码,行业名称,成分股数量,成分股
URFI881145,电力,110,"USZA000027,USZA000037,USZA000155,USZA000531,USZA000537,USZA000539,USZA000543,USZA000591,USZA000595,USZA000600,USZA000601,USZA000631,USZA000690,USZA000692,USZA000722,USZA000767,USZA000791,USZA000862,USZA000875,USZA000883,USZA000899,USZA000958,USZA000966,USZA000993,USZA001210,USZA001248,USZA001258,USZA001286,USZA001289,USZA001376,USZA001896,USZA002015,USZA002039,USZA002053,USZA002218,USZA002256,USZA002310,USZA002479,USZA002480,USZA002608,USZA002616,USZA002617,USZA002893,USZA003035,USZA003816,USZA300040,USZA300125,USZA300317,USZA300335,USHA600011,USHA600021,USHA600023,USHA600025,USHA600027,USHA600032,USHA600052,USHA600098,USHA600101,USHA600116,USHA600149,USHA600157,USHA600163,USHA600167,USHA600173,USHA600226,USHA600236,USHA600292,USHA600310,USHA600396,USHA600452,USHA600475,USHA600483,USHA600505,USHA600509,USHA600575,USHA600578,USHA600642,USHA600644,USHA600674,USHA600719,USHA600744,USHA600780,USHA600795,USHA600821,USHA600863,USHA600868,USHA600886,USHA600900,USHA600905,USHA600930,USHA600956,USHA600969,USHA600979,USHA600982,USHA600995,USHA601016,USHA601619,USHA601778,USHA601908,USHA601985,USHA601991,USHA603071,USHA603105,USHA603693,USHA605011,USHA605028,USHA605162,USHA605580,USHA688248,USTM920770"
URFI881278,电网设备,140,"USZA000400,USZA000533,USZA000682,USZA000720,USZA001208,USZA001382,USZA001388,USZA001393,USZA002028,USZA002090,USZA002112,USZA002121,USZA002169,USZA002270,USZA002276,USZA002298,USZA002300,USZA002309,USZA002339,USZA002346,USZA002350,USZA002358,USZA002441,USZA002451,USZA002452,USZA002471,USZA002498,USZA002533,USZA002546,USZA002560,USZA002606,USZA002692,USZA002706,USZA002857,USZA002879,USZA002882,USZA002927,USZA002953,USZA002980,USZA300001,USZA300018,USZA300062,USZA300069,USZA300141,USZA300222,USZA300265,USZA300283,USZA300286,USZA300360,USZA300407,USZA300423,USZA300427,USZA300444,USZA300477,USZA300510,USZA300514,USZA300617,USZA300670,USZA300880,USZA300882,USZA300932,USZA300933,USZA301012,USZA301082,USZA301120,USZA301179,USZA301291,USZA301295,USZA301361,USZA301386,USZA301388,USZA301439,USZA301609,USZA301668,USHA600067,USHA600192,USHA600268,USHA600312,USHA600379,USHA600406,USHA600468,USHA600525,USHA600550,USHA600577,USHA600768,USHA600869,USHA600885,USHA600973,USHA601096,USHA601126,USHA601179,USHA601222,USHA601567,USHA601616,USHA601700,USHA601877,USHA603016,USHA603045,USHA603050,USHA603070,USHA603097,USHA603191,USHA603312,USHA603333,USHA603530,USHA603556,USHA603577,USHA603606,USHA603618,USHA603829,USHA603861,USHA603897,USHA605066,USHA605196,USHA605222,USHA688226,USHA688330,USHA688450,USHA688517,USHA688597,USHA688611,USHA688616,USHA688663,USHA688676,USHA688681,USTM920018,USTM920029,USTM920037,USTM920046,USTM920062,USTM920111,USTM920118,USTM920222,USTM920299,USTM920375,USTM920496,USTM920508,USTM920556,USTM920639,USTM920682"
URFI881172,电子化学品,43,"USZA002584,USZA002643,USZA002741,USZA300054,USZA300236,USZA300285,USZA300346,USZA300398,USZA300429,USZA300481,USZA300537,USZA300576,USZA300655,USZA300684,USZA301319,USZA301489,USZA301630,USHA600330,USHA603002,USHA603078,USHA603115,USHA603256,USHA603435,USHA603931,USHA688019,USHA688020,USHA688035,USHA688106,USHA688146,USHA688150,USHA688268,USHA688359,USHA688371,USHA688378,USHA688545,USHA688548,USHA688549,USHA688550,USHA688603,USHA688683,USTM920161,USTM920189,USTM920402"
URFI881283,多元金融,26,"USZA000415,USZA000532,USZA000563,USZA000567,USZA000617,USZA000935,USZA000987,USZA001236,USZA002423,USZA002647,USZA002961,USZA300773,USHT600053,USHA600120,USHA600318,USHA600390,USHA600517,USHA600643,USHA600783,USHA600816,USHA600830,USHA600901,USHA600927,USHA603093,USHA603123,USHA603300"
URFI881180,石油加工贸易,27,"USZA000059,USZA000096,USZA000301,USZA000554,USZA000637,USZA000698,USZA000819,USZA000985,USZA001316,USZA002221,USZA002377,USZA002408,USZA002476,USZA002493,USZA002986,USZA300055,USZA300135,USZA300839,USHA600028,USHA600346,USHA600506,USHA600688,USHA600800,USHA601857,USHA603223,USHA603353,USHA603798"
URFI881153,房地产,88,"USZA000002,USZA000006,USZA000011,USZA000014,USZA000029,USZA000031,USZA000036,USZA000042,USZA000090,USZA000402,USZA000514,USZA000517,USZA000560,USZA000573,USZA000608,USZA000609,USZA000620,USZA000656,USZA000668,USZA000718,USZA000736,USZA000797,USZA000838,USZA000863,USZA000897,USZA000909,USZA000926,USZA000965,USZA001914,USZA001979,USZA002016,USZA002133,USZA002146,USZA002188,USZA002208,USZA002244,USZA002285,USZA002314,USZA002822,USZA002968,USZA300917,USHA600007,USHA600048,USHA600064,USHT600082,USHA600094,USHT600136,USHA600159,USHA600208,USHA600246,USHA600266,USHA600322,USHA600325,USHT600340,USHA600376,USHA600383,USHA600463,USHA600503,USHA600510,USHA600533,USHA600604,USHA600606,USHA600622,USHA600638,USHA600639,USHA600648,USHA600649,USHA600657,USHA600658,USHA600663,USHA600665,USHA600675,USHA600683,USHA600684,USHA600692,USHA600708,USHA600716,USHA600724,USHA600736,USHA600743,USHA600748,USHA600773,USHA600791,USHA600848,USHA600895,USHA601155,USHA601512,USHA603506"
URFI881135,纺织制造,33,"USZA000726,USZA000850,USZA000955,USZA001312,USZA001390,USZA002003,USZA002042,USZA002083,USZA002098,USZA002144,USZA002394,USZA002674,USZA300819,USZA300877,USZA300918,USZA300979,USZA301066,USHA600156,USHA600232,USHA600448,USHA600493,USHA600987,USHA601339,USHA601599,USHA603055,USHA603073,USHA603130,USHA603238,USHA603889,USHA605055,USHA605180,USHA605189,USTM920527"
URFI881167,非金属材料,17,"USZA000833,USZA001296,USZA001359,USZA301071,USZA301595,USHA603612,USHA603663,USHA603688,USHA603826,USHA605086,USHA688300,USHA688598,USTM920083,USTM920175,USTM920675,USTM920719,USTM920971"
URFI881280,风电设备,32,"USZA000809,USZA002202,USZA002487,USZA002531,USZA300129,USZA300185,USZA300443,USZA300569,USZA300690,USZA300772,USZA300850,USZA300904,USZA301040,USZA301155,USZA301163,USZA301232,USZA301456,USZA301557,USZA301699,USHA600072,USHA601218,USHA601615,USHA603063,USHA603092,USHA603218,USHA603248,USHA603507,USHA603985,USHA688186,USHA688349,USHA688660,USTM920200"
URFI881136,服装家纺,75,"USZA000017,USZA000026,USZA001209,USZA001234,USZA002029,USZA002154,USZA002193,USZA002269,USZA002293,USZA002327,USZA002345,USZA002397,USZA002404,USZA002486,USZA002494,USZA002563,USZA002569,USZA002574,USZA002634,USZA002656,USZA002687,USZA002721,USZA002731,USZA002762,USZA002763,USZA002780,USZA002832,USZA002867,USZA002875,USZA003016,USZA003041,USZA300005,USZA300577,USZA300591,USZA300840,USZA300901,USZA300945,USZA300952,USZA301088,USZA301177,USZA301276,USHT600107,USHA600137,USHA600177,USHA600398,USHA600400,USHT600439,USHA600612,USHA600630,USHT600735,USHA600916,USHA601566,USHT601718,USHA603001,USHA603116,USHA603196,USHA603307,USHA603365,USHA603511,USHA603518,USHT603557,USHA603558,USHA603587,USHA603608,USHA603665,USHA603808,USHA603839,USHA603877,USHA603900,USHA603908,USHA603958,USHA605003,USHA605138,USHA605599,USTM920262"
