行业代码,行业名称,成分股数量,成分股
URFI881132,黑色家电,9,"USZA000801,USZA000810,USZA002429,USZA002848,USZA301578,USHA600060,USHA600839,USHA688609,USHA688696"
URFI881177,互联网电商,20,"USZA002024,USZA002127,USZA002315,USZA002640,USZA002803,USZA003010,USZA300209,USZA300464,USZA300518,USZA300592,USZA300792,USZA301001,USZA301110,USZA301381,USZA301558,USHT600365,USHA600539,USHA603613,USHA605136,USTM920065"
URFI881264,化学纤维,29,"USZA000420,USZA000677,USZA000703,USZA000782,USZA000936,USZA000949,USZA001369,USZA002064,USZA002206,USZA002254,USZA002427,USZA002998,USZA300876,USZA300905,USZA301057,USHA600063,USHT600370,USHA600527,USHA600810,USHA601113,USHA601233,USHA603225,USHA603332,USHA603382,USHA603406,USHA605166,USHA688295,USHA688722,USTM920077"
URFI881108,化学原料,59,"USZA000510,USZA000545,USZA000635,USZA000683,USZA000691,USZA000707,USZA000818,USZA000822,USZA000830,USZA000990,USZA001217,USZA002092,USZA002109,USZA002136,USZA002145,USZA002274,USZA002386,USZA002469,USZA002601,USZA002748,USZA003017,USZA300082,USZA300891,USZA300927,USZA301069,USZA301118,USZA301190,USZA301256,USHA600075,USHA600319,USHA600328,USHA600367,USHA600409,USHT600423,USHA600586,USHA600610,USHA600618,USHA600623,USHA600714,USHA600722,USHA600746,USHA600784,USHA600844,USHA600929,USHA600935,USHA600955,USHA600989,USHA601065,USHA601216,USHA601568,USHA601678,USHA603067,USHA603113,USHA603213,USHA603276,USHA603299,USHA603938,USTM920304,USTM920489"
URFI881109,化学制品,183,"USZA000565,USZA000881,USZA001218,USZA001335,USZA001358,USZA002037,USZA002054,USZA002096,USZA002165,USZA002166,USZA002211,USZA002226,USZA002246,USZA002319,USZA002326,USZA002360,USZA002407,USZA002430,USZA002440,USZA002453,USZA002455,USZA002497,USZA002562,USZA002591,USZA002597,USZA002637,USZA002648,USZA002666,USZA002669,USZA002683,USZA002783,USZA002802,USZA002809,USZA002810,USZA002827,USZA002909,USZA002915,USZA002917,USZA002971,USZA003002,USZA300019,USZA300041,USZA300067,USZA300072,USZA300107,USZA300109,USZA300169,USZA300174,USZA300200,USZA300214,USZA300225,USZA300343,USZA300405,USZA300522,USZA300535,USZA300596,USZA300610,USZA300637,USZA300641,USZA300665,USZA300721,USZA300727,USZA300741,USZA300758,USZA300798,USZA300801,USZA300821,USZA300829,USZA300848,USZA300858,USZA300886,USZA300910,USZA301036,USZA301037,USZA301076,USZA301077,USZA301100,USZA301149,USZA301156,USZA301206,USZA301209,USZA301212,USZA301220,USZA301283,USZA301286,USZA301373,USZA301518,USZA301585,USZA301617,USZA301618,USZA301683,USZA301688,USHA600160,USHA600165,USHA600230,USHA600273,USHA600299,USHA600309,USHA600352,USHA600378,USHA600500,USHA600727,USHA600866,USHA600873,USHA603004,USHA603010,USHA603020,USHA603041,USHA603051,USHA603062,USHA603065,USHA603079,USHA603110,USHA603120,USHA603125,USHA603155,USHA603172,USHA603181,USHA603188,USHA603192,USHA603217,USHA603227,USHA603255,USHA603260,USHA603281,USHA603285,USHA603310,USHA603334,USHA603379,USHA603505,USHA603681,USHA603683,USHA603722,USHA603739,USHA603790,USHT603822,USHA603823,USHA603867,USHA603916,USHA603948,USHA603968,USHA603977,USHA603980,USHA605016,USHA605020,USHA605077,USHA605366,USHA605399,USHA605566,USHA688065,USHT688089,USHA688129,USHA688133,USHA688157,USHA688179,USHA688196,USHA688199,USHA688267,USHA688269,USHA688350,USHA688357,USHA688398,USHA688571,USHA688602,USHA688625,USHA688639,USHA688659,USTM920015,USTM920016,USTM920033,USTM920038,USTM920107,USTM920206,USTM920258,USTM920261,USTM920288,USTM920422,USTM920471,USTM920519,USTM920832,USTM920957,USTM920970,USTM920974"
URFI881140,化学制药,159,"USZA000153,USZA000513,USZA000566,USZA000597,USZA000739,USZA000756,USZA000766,USZA000788,USZA000813,USZA000908,USZA000915,USZA000919,USZA000931,USZA000952,USZA000953,USZA000963,USZA001367,USZA002001,USZA002004,USZA002019,USZA002020,USZA002038,USZA002099,USZA002102,USZA002168,USZA002262,USZA002294,USZA002332,USZA002365,USZA002370,USZA002393,USZA002399,USZA002422,USZA002437,USZA002550,USZA002653,USZA002675,USZA002742,USZA002755,USZA002793,USZA002826,USZA002872,USZA002900,USZA002923,USZA002940,USZA003020,USZA300006,USZA300016,USZA300086,USZA300110,USZA300111,USZA300194,USZA300199,USZA300204,USZA300233,USZA300254,USZA300255,USZA300267,USZA300381,USZA300401,USZA300434,USZA300436,USZA300452,USZA300497,USZA300558,USZA300573,USZA300583,USZA300584,USZA300636,USZA300702,USZA300705,USZA300723,USZA300765,USZA300966,USZA301065,USZA301075,USZA301089,USZA301130,USZA301211,USZA301246,USZA301258,USZA301263,USZA301277,USZA301281,USZA301301,USZA301507,USHA600062,USHT600079,USHA600196,USHA600216,USHA600267,USHA600276,USHA600380,USHA600420,USHA600488,USHA600513,USHA600521,USHA600613,USHT600624,USHA600664,USHA600774,USHA600789,USHA600812,USHA600851,USHA601089,USHA603168,USHA603207,USHA603229,USHA603235,USHA603336,USHA603351,USHA603367,USHA603520,USHA603538,USHA603669,USHA603676,USHA603707,USHA603811,USHA605116,USHA605177,USHA605507,USHT688076,USHA688091,USHA688117,USHA688166,USHA688176,USHT688189,USHA688192,USHA688197,USHA688221,USHA688235,USHA688247,USHA688266,USHA688302,USHA688321,USHA688356,USHA688373,USHA688382,USHA688505,USHA688506,USHA688513,USHA688553,USHA688566,USHA688578,USHA688658,USHA688687,USHA688690,USHA688758,USHA688759,USHA688799,USTM920017,USTM920230,USTM920367,USTM920478,USTM920547,USTM920566,USTM920656,USTM920735,USTM920946"
URFI881284,环保设备,30,"USZA000551,USZA000820,USZA000890,USZA000967,USZA001336,USZA002658,USZA300056,USZA300105,USZA300137,USZA300385,USZA300631,USZA300786,USZA300800,USZA300862,USZA301030,USZA301081,USZA301288,USHA600388,USHA600526,USHA600817,USHA603282,USHA603324,USHA688309,USHA688335,USHA688376,USHA688501,USHA688671,USHA688718,USTM920145,USTM920802"
URFI881181,环境治理,111,"USZA000035,USZA000068,USZA000544,USZA000546,USZA000598,USZA000605,USZA000685,USZA000711,USZA000803,USZA000826,USZA000885,USZA001230,USZA002034,USZA002210,USZA002266,USZA002549,USZA002573,USZA002645,USZA002672,USZA002717,USZA002778,USZA002887,USZA002973,USZA003027,USZA003039,USZA300070,USZA300140,USZA300152,USZA300172,USZA300187,USZA300190,USZA300197,USZA300266,USZA300355,USZA300388,USZA300422,USZA300425,USZA300437,USZA300614,USZA300664,USZA300692,USZA300774,USZA300779,USZA300815,USZA300854,USZA300864,USZA300867,USZA300899,USZA300929,USZA300948,USZA300958,USZA300961,USZA301049,USZA301068,USZA301109,USZA301127,USZA301148,USZA301175,USZA301203,USZA301259,USZA301265,USZA301305,USZA301372,USZA301500,USZA301519,USHA600008,USHA600133,USHA600168,USHT600187,USHA600217,USHA600283,USHA600323,USHA600461,USHA600769,USHA600796,USHA600874,USHA601033,USHA601158,USHA601199,USHA601200,USHA601330,USHA601368,USHA601827,USHA603126,USHA603177,USHA603200,USHA603291,USHA603315,USHT603359,USHA603568,USHA603588,USHA603686,USHA603759,USHA603797,USHA603817,USHA603903,USHA605069,USHA688057,USHA688069,USHA688096,USHA688101,USHA688178,USHA688370,USHA688466,USHA688480,USHA688485,USHA688565,USHA688679,USHA688701,USTM920263,USTM920370"
URFI881151,机场航运,13,"USZA000089,USZA000099,USZA002928,USHA600004,USHA600009,USHA600029,USHA600115,USHA600221,USHA600515,USHA600897,USHA601021,USHA601111,USHA603885"
URFI881130,计算机设备,83,"USZA000066,USZA000977,USZA000997,USZA001229,USZA001339,USZA002152,USZA002180,USZA002236,USZA002268,USZA002376,USZA002415,USZA002512,USZA002528,USZA002577,USZA002835,USZA002869,USZA002912,USZA002970,USZA002990,USZA003004,USZA300042,USZA300130,USZA300155,USZA300249,USZA300270,USZA300302,USZA300324,USZA300333,USZA300368,USZA300386,USZA300449,USZA300455,USZA300462,USZA300479,USZA300508,USZA300531,USZA300546,USZA300551,USZA300552,USZA300588,USZA300645,USZA300659,USZA300691,USZA300743,USZA300771,USZA300789,USZA300790,USZA300807,USZA300845,USZA300847,USZA300857,USZA300884,USZA300941,USZA301042,USZA301117,USZA301318,USZA301330,USZA301339,USZA301391,USZA301503,USZA301589,USZA301600,USHA600100,USHA603019,USHA603106,USHA603496,USHA603508,USHA603516,USHA603660,USHA605118,USHA688060,USHA688208,USHA688288,USHA688475,USHA688489,USHA688619,USTM920036,USTM920090,USTM920190,USTM920198,USTM920395,USTM920808,USTM920976"
URFI881115,建筑材料,73,"USZA000012,USZA000055,USZA000401,USZA000619,USZA000672,USZA000786,USZA000789,USZA000877,USZA001212,USZA002043,USZA002066,USZA002080,USZA002088,USZA002201,USZA002205,USZA002225,USZA002233,USZA002247,USZA002271,USZA002302,USZA002333,USZA002372,USZA002392,USZA002398,USZA002457,USZA002596,USZA002641,USZA002652,USZA002671,USZA002694,USZA002718,USZA002785,USZA002791,USZA003037,USZA300196,USZA300198,USZA300234,USZA300374,USZA300599,USZA300715,USZA300737,USZA300986,USZA301010,USZA301429,USZA301526,USHA600176,USHA600293,USHA600326,USHA600425,USHA600449,USHA600585,USHA600668,USHT600678,USHA600801,USHA600802,USHA600819,USHA601112,USHA601636,USHA601992,USHA603038,USHT603378,USHA603601,USHA603616,USHA603737,USHA603856,USHA605006,USHA605122,USHA605318,USHA688119,USTM920076,USTM920191,USTM920580,USTM920792"
URFI881116,建筑装饰,143,"USZA000010,USZA000032,USZA000065,USZA000498,USZA000628,USZA000779,USZA000928,USZA002047,USZA002051,USZA002060,USZA002061,USZA002062,USZA002081,USZA002116,USZA002135,USZA002140,USZA002163,USZA002200,USZA002307,USZA002323,USZA002375,USZA002431,USZA002482,USZA002541,USZA002542,USZA002586,USZA002620,USZA002628,USZA002629,USZA002663,USZA002713,USZA002743,USZA002761,USZA002775,USZA002789,USZA002811,USZA002830,USZA002856,USZA002883,USZA002941,USZA002949,USZA002963,USZA002989,USZA003001,USZA003013,USZA300284,USZA300384,USZA300500,USZA300506,USZA300517,USZA300564,USZA300621,USZA300635,USZA300649,USZA300675,USZA300712,USZA300732,USZA300778,USZA300826,USZA300844,USZA300949,USZA300977,USZA300982,USZA300983,USZA300989,USZA301024,USZA301027,USZA301038,USZA301046,USZA301058,USZA301091,USZA301098,USZA301136,USZA301167,USZA301365,USZA301390,USZA301505,USHA600039,USHA600170,USHA600234,USHA600248,USHA600284,USHA600477,USHT600491,USHA600496,USHA600502,USHA600512,USHA600629,USHA600667,USHA600720,USHA600820,USHA600846,USHA600853,USHA600939,USHA600970,USHA601068,USHA601117,USHA601133,USHA601186,USHA601226,USHA601390,USHA601611,USHA601618,USHA601668,USHA601669,USHA601789,USHA601800,USHA601868,USHA601886,USHA603017,USHA603018,USHA603030,USHA603098,USHA603137,USHA603153,USHA603163,USHA603176,USHA603257,USHA603357,USHA603458,USHA603637,USHA603815,USHT603828,USHT603843,USHA603860,USHA603909,USHA603929,USHA603955,USHT603959,USHA605167,USHA605178,USHA605287,USHA605289,USHA605303,USHA605598,USTM920003,USTM920019,USTM920057,USTM920099,USTM920149,USTM920427,USTM920873,USTM920892"
URFI881178,教育,15,"USZA000526,USZA002607,USZA002659,USZA003032,USZA300010,USZA300192,USZA300338,USZA300359,USZA300492,USZA300688,USHA600455,USHA600661,USHT600730,USHT603377,USHA605098"
URFI881114,金属新材料,34,"USZA000633,USZA000795,USZA000969,USZA000970,USZA300127,USZA300224,USZA300748,USZA300811,USZA300835,USZA300855,USZA300930,USZA300963,USZA301141,USZA301323,USZA301522,USZA301531,USZA301622,USHA600255,USHA600366,USHA601137,USHA603072,USHA603124,USHA603978,USHA605158,USHA688077,USHA688102,USHA688190,USHA688456,USHA688786,USHA688811,USTM920078,USTM920152,USTM920576,USTM920751"
URFI881276,军工电子,61,"USZA000547,USZA000733,USZA001270,USZA002025,USZA002179,USZA002189,USZA002214,USZA002338,USZA002383,USZA002413,USZA002414,USZA002446,USZA002465,USZA002519,USZA002935,USZA002977,USZA300045,USZA300101,USZA300123,USZA300177,USZA300252,USZA300397,USZA300447,USZA300474,USZA300629,USZA300726,USZA300762,USZA301050,USZA301213,USZA301302,USZA301517,USZA301571,USZA301592,USZA301682,USZA301707,USHA600562,USHA600855,USHA600990,USHA603267,USHA603488,USHA603678,USHA603712,USHA688011,USHT688053,USHA688081,USHA688084,USHA688132,USHA688175,USHA688272,USHA688311,USHA688375,USHA688439,USHA688511,USHA688522,USHA688552,USHA688629,USHA688636,USHA688682,USHA688776,USHA688788,USTM920008"
URFI881166,军工装备,82,"USZA000519,USZA000561,USZA000576,USZA000697,USZA000738,USZA000768,USZA002023,USZA002111,USZA002265,USZA002297,USZA002389,USZA002625,USZA002651,USZA002829,USZA002933,USZA002985,USZA003009,USZA300008,USZA300034,USZA300065,USZA300395,USZA300424,USZA300527,USZA300581,USZA300589,USZA300600,USZA300696,USZA300699,USZA300719,USZA300722,USZA300775,USZA300777,USZA300810,USZA300875,USZA300900,USZA300922,USZA300965,USZA301357,USZA301586,USZA301696,USZA302132,USHA600038,USHA600118,USHA600150,USHA600184,USHA600316,USHA600372,USHA600391,USHA600435,USHA600685,USHA600760,USHA600764,USHA600765,USHA600862,USHA600879,USHA600893,USHA600967,USHA601606,USHA601698,USHA601890,USHA603261,USHA603268,USHA605123,USHT688066,USHA688070,USHA688122,USHA688231,USHA688237,USHA688239,USHA688281,USHA688282,USHA688297,USHA688510,USHA688523,USHA688543,USHA688563,USHA688586,USHA688685,USHA688708,USHA688818,USTM920006,USTM920642"
URFI881282,其他电源设备,35,"USZA002052,USZA002227,USZA002255,USZA002335,USZA002364,USZA002366,USZA002518,USZA002534,USZA002630,USZA002851,USZA002951,USZA300153,USZA300277,USZA300376,USZA300490,USZA300491,USZA300593,USZA300693,USZA300713,USZA300820,USZA300870,USZA301157,USZA301516,USZA301590,USZA301669,USHA600212,USHA600405,USHA600482,USHA600590,USHA600875,USHA601727,USHA688411,USHA688551,USHA688719,USTM920110"
URFI881123,其他电子,34,"USZA000062,USZA000670,USZA001287,USZA001298,USZA002130,USZA002161,USZA002388,USZA002729,USZA002782,USZA002859,USZA002885,USZA002922,USZA300131,USZA300184,USZA300475,USZA300493,USZA300516,USZA300650,USZA300656,USZA300736,USZA300975,USZA300991,USZA301031,USZA301099,USZA301275,USZA301328,USZA301359,USZA301563,USHA600353,USHA688093,USHA688103,USHA688662,USHA688800,USTM920181"
URFI881179,其他社会服务,42,"USZA001396,USZA002057,USZA002858,USZA002967,USZA003008,USZA300012,USZA300215,USZA300416,USZA300662,USZA300668,USZA300795,USZA300797,USZA300860,USZA300887,USZA300938,USZA300962,USZA301115,USZA301169,USZA301228,USZA301289,USZA301306,USZA301449,USZA301508,USZA301632,USHA600158,USHA600654,USHA600662,USHA600676,USHA600826,USHA600861,USHA601588,USHA601965,USHA603060,USHA603183,USHA603373,USHA688334,USHA688757,USTM920039,USTM920122,USTM920160,USTM920208,USTM920753"
URFI881158,零售,71,"USZA000007,USZA000056,USZA000058,USZA000061,USZA000417,USZA000419,USZA000501,USZA000564,USZA000679,USZA000715,USZA000759,USZA000785,USZA000829,USZA000882,USZA002177,USZA002187,USZA002251,USZA002277,USZA002305,USZA002344,USZA002356,USZA002416,USZA002419,USZA002561,USZA002697,USZA002818,USZA300022,USZA300622,USZA300755,USZA300947,USZA300972,USZA301078,USHA600113,USHA600162,USHA600185,USHT600239,USHA600280,USHA600415,USHA600605,USHA600628,USHA600655,USHA600693,USHA600694,USHA600697,USHA600712,USHA600729,USHA600738,USHA600778,USHA600785,USHA600790,USHA600814,USHA600824,USHA600827,USHA600828,USHA600838,USHA600857,USHA600858,USHA600859,USHA600865,USHT601010,USHA601086,USHA601116,USHA601366,USHA601828,USHA601888,USHA601933,USHA603101,USHA603214,USHA603682,USHA603708,USHA605188"
URFI881160,旅游及酒店,35,"USZA000069,USZA000428,USZA000430,USZA000524,USZA000558,USZA000610,USZA000721,USZA000796,USZA000888,USZA000978,USZA002033,USZA002059,USZA002159,USZA002186,USZA002306,USZA002627,USZA002707,USZA300144,USZA300859,USZA301073,USHA600054,USHA600138,USHA600250,USHA600258,USHA600576,USHA600593,USHA600706,USHA600749,USHA600754,USHA601007,USHA603099,USHA603136,USHA603199,USHA603402,USHA605108"
URFI881159,贸易,14,"USZA000151,USZA000626,USZA000701,USZA002072,USZA002091,USZA002183,USHA600058,USHA600128,USHA600278,USHA600287,USHA600710,USHA600725,USHA600981,USHA601061"
URFI881105,煤炭开采加工,34,"USZA000552,USZA000571,USZA000723,USZA000937,USZA000983,USZA002128,USHA600121,USHA600123,USHA600188,USHA600256,USHA600348,USHA600395,USHA600403,USHA600408,USHA600508,USHA600546,USHA600726,USHA600740,USHA600758,USHA600792,USHA600925,USHA600971,USHA600985,USHA600997,USHA601001,USHA601011,USHA601015,USHA601088,USHA601101,USHA601225,USHA601666,USHA601699,USHA601898,USHA601918"
URFI881182,美容护理,34,"USZA000615,USZA001206,USZA001328,USZA002243,USZA002511,USZA002612,USZA003006,USZA300132,USZA300658,USZA300740,USZA300849,USZA300856,USZA300888,USZA300896,USZA300955,USZA300957,USZA301009,USZA301059,USZA301108,USZA301371,USHA600223,USHA600249,USHA600315,USHA603059,USHA603193,USHA603605,USHA603630,USHA603983,USHA605009,USHA688363,USTM920123,USTM920165,USTM920176,USTM920982"
URFI881267,能源金属,13,"USZA000762,USZA002192,USZA002240,USZA002460,USZA002466,USZA002667,USZA002756,USZA300618,USZA301219,USHA603399,USHA603799,USHA605376,USTM920914"
URFI881103,农产品加工,43,"USZA000019,USZA000505,USZA000702,USZA000876,USZA000911,USZA000930,USZA000972,USZA001313,USZA001338,USZA001366,USZA002086,USZA002100,USZA002286,USZA002311,USZA002385,USZA002481,USZA002548,USZA002567,USZA002696,USZA002852,USZA002891,USZA003030,USZA300138,USZA300175,USZA300268,USZA300673,USZA300999,USZA301498,USHA600127,USHA600191,USHA600251,USHA600737,USHA603151,USHA603182,USHA603231,USHA603363,USHA603609,USHA603668,USHA688156,USTM920023,USTM920275,USTM920371,USTM920419"
URFI881263,农化制品,61,"USZA000408,USZA000422,USZA000525,USZA000553,USZA000731,USZA000792,USZA000893,USZA000902,USZA000912,USZA001231,USZA002170,USZA002250,USZA002258,USZA002312,USZA002391,USZA002470,USZA002496,USZA002538,USZA002539,USZA002545,USZA002588,USZA002734,USZA002749,USZA002758,USZA002895,USZA002942,USZA002999,USZA003042,USZA300261,USZA300387,USZA300505,USZA300575,USZA300796,USZA300804,USZA301035,USZA301665,USHA600078,USHA600096,USHA600141,USHA600227,USHA600331,USHA600389,USHA600426,USHA600470,USHA600486,USHA600596,USHA600691,USHA600731,USHA603077,USHA603086,USHA603360,USHA603395,USHA603585,USHA603599,USHA603639,USHA603810,USHA603970,USHA605033,USTM920159,USTM920819,USTM920866"
URFI881128,汽车服务及其他,26,"USZA000757,USZA000913,USZA002105,USZA003033,USZA300256,USZA300825,USZA300994,USZA301215,USZA301322,USZA301345,USHA600099,USHA600335,USHA600386,USHA600653,USHA600679,USHT600818,USHA600822,USHA603129,USHA603468,USHA603529,USHA603766,USHA603776,USHA603787,USHA689009,USTM920030,USTM920058"
URFI881126,汽车零部件,276,"USZA000030,USZA000338,USZA000559,USZA000581,USZA000589,USZA000599,USZA000678,USZA000700,USZA000887,USZA000901,USZA000903,USZA000981,USZA001233,USZA001260,USZA001278,USZA001282,USZA001285,USZA001311,USZA001319,USZA001365,USZA001380,USZA002048,USZA002085,USZA002101,USZA002126,USZA002190,USZA002239,USZA002283,USZA002284,USZA002328,USZA002355,USZA002363,USZA002406,USZA002434,USZA002448,USZA002454,USZA002472,USZA002488,USZA002510,USZA002516,USZA002536,USZA002537,USZA002553,USZA002590,USZA002592,USZA002593,USZA002662,USZA002664,USZA002703,USZA002708,USZA002715,USZA002725,USZA002765,USZA002766,USZA002806,USZA002813,USZA002863,USZA002870,USZA002906,USZA002920,USZA002921,USZA002937,USZA002965,USZA002976,USZA002984,USZA002997,USZA300100,USZA300176,USZA300237,USZA300258,USZA300304,USZA300375,USZA300428,USZA300432,USZA300446,USZA300473,USZA300507,USZA300547,USZA300580,USZA300585,USZA300611,USZA300643,USZA300652,USZA300680,USZA300681,USZA300694,USZA300695,USZA300707,USZA300733,USZA300745,USZA300816,USZA300863,USZA300893,USZA300912,USZA300926,USZA300928,USZA300969,USZA300978,USZA300998,USZA301000,USZA301005,USZA301007,USZA301020,USZA301022,USZA301072,USZA301119,USZA301133,USZA301170,USZA301173,USZA301181,USZA301186,USZA301192,USZA301225,USZA301229,USZA301233,USZA301298,USZA301310,USZA301397,USZA301398,USZA301459,USZA301488,USZA301499,USZA301529,USZA301535,USZA301539,USZA301550,USZA301552,USZA301560,USZA301581,USZA301607,USZA301608,USZA301613,USZA301631,USZA301655,USZA301656,USZA301667,USZA301680,USHA600081,USHA600148,USHA600151,USHA600178,USHA600182,USHA600218,USHA600469,USHA600480,USHA600523,USHA600609,USHA600626,USHA600651,USHA600660,USHA600698,USHA600699,USHA600741,USHA600742,USHA600841,USHA600933,USHA600960,USHA601058,USHA601163,USHA601279,USHA601500,USHA601689,USHA601799,USHA601966,USHA603007,USHA603009,USHA603013,USHA603023,USHA603035,USHA603037,USHA603040,USHA603048,USHA603049,USHA603085,USHA603089,USHA603107,USHA603109,USHA603119,USHA603121,USHA603158,USHA603161,USHA603166,USHA603178,USHA603179,USHA603190,USHA603197,USHA603202,USHA603210,USHA603211,USHA603239,USHA603266,USHA603286,USHA603293,USHA603305,USHA603306,USHA603319,USHA603335,USHA603348,USHA603352,USHA603358,USHA603376,USHA603390,USHA603409,USHA603418,USHA603448,USHA603586,USHA603596,USHA603633,USHA603655,USHA603701,USHA603730,USHA603758,USHA603767,USHA603768,USHA603786,USHA603788,USHA603809,USHA603917,USHT603922,USHA603926,USHA603949,USHA603950,USHA603960,USHA603982,USHA603997,USHA605005,USHA605018,USHA605068,USHA605088,USHA605128,USHA605133,USHA605151,USHA605228,USHA605255,USHA605319,USHA605333,USHA688021,USHA688280,USHA688533,USHA688612,USHA688667,USHA688737,USTM920000,USTM920020,USTM920022,USTM920055,USTM920059,USTM920079,USTM920086,USTM920106,USTM920136,USTM920146,USTM920168,USTM920187,USTM920195,USTM920202,USTM920212,USTM920220,USTM920221,USTM920242,USTM920247,USTM920269,USTM920270,USTM920271,USTM920378,USTM920418,USTM920436,USTM920454,USTM920533,USTM920663,USTM920690,USTM920720,USTM920837,USTM920896,USTM920906,USTM920978"
URFI881125,汽车整车,23,"USZA000550,USZA000572,USZA000625,USZA000800,USZA000868,USZA000951,USZA000957,USZA000980,USZA002594,USZA301039,USHA600006,USHA600066,USHA600104,USHA600166,USHA600303,USHA600375,USHA600418,USHA600686,USHA600733,USHA601127,USHA601238,USHA601633,USHA601777"
URFI881146,燃气,27,"USZA000407,USZA000593,USZA000669,USZA001299,USZA001331,USZA002259,USZA002267,USZA002700,USZA002911,USZA300332,USHA600333,USHA600617,USHA600635,USHA600681,USHA600803,USHA600903,USHA600917,USHA601139,USHA603053,USHA603080,USHA603318,USHA603689,USHA603706,USHA605090,USHA605169,USHA605368,USTM920010"
URFI881272,软件开发,138,"USZA000503,USZA000948,USZA002063,USZA002153,USZA002178,USZA002212,USZA002230,USZA002253,USZA002261,USZA002279,USZA002322,USZA002362,USZA002405,USZA002410,USZA002439,USZA002987,USZA003007,USZA003029,USZA300033,USZA300036,USZA300047,USZA300074,USZA300075,USZA300085,USZA300096,USZA300188,USZA300226,USZA300229,USZA300235,USZA300253,USZA300271,USZA300311,USZA300348,USZA300352,USZA300365,USZA300366,USZA300369,USZA300377,USZA300378,USZA300380,USZA300451,USZA300454,USZA300465,USZA300468,USZA300469,USZA300520,USZA300525,USZA300542,USZA300550,USZA300556,USZA300559,USZA300561,USZA300579,USZA300598,USZA300605,USZA300608,USZA300624,USZA300663,USZA300730,USZA300766,USZA300768,USZA300803,USZA300830,USZA300925,USZA300935,USZA300996,USZA301095,USZA301153,USZA301159,USZA301162,USZA301185,USZA301195,USZA301221,USZA301269,USZA301270,USZA301315,USZA301337,USZA301378,USHA600288,USHA600570,USHA600571,USHA600588,USHA600602,USHA600880,USHA601360,USHA601519,USHA603039,USHA603138,USHT603189,USHA603232,USHA603383,USHA603528,USHA603927,USHA603990,USHA688023,USHA688030,USHA688031,USHA688038,USHA688058,USHA688078,USHA688083,USHA688095,USHA688109,USHA688111,USHA688118,USHA688152,USHA688168,USHA688171,USHT688201,USHA688206,USHA688225,USHA688232,USHA688244,USHA688246,USHA688291,USHA688296,USHA688318,USHA688326,USHA688369,USHA688435,USHA688479,USHA688507,USHA688561,USHA688562,USHA688579,USHA688588,USHA688590,USHA688615,USHA688631,USHA688651,USHA688657,USHA688692,USHA688695,USTM920207,USTM920415,USTM920592,USTM920799,USTM920932"
URFI881142,生物制品,56,"USZA000403,USZA000518,USZA000534,USZA000661,USZA002007,USZA002252,USZA002581,USZA002693,USZA002773,USZA002880,USZA300009,USZA300122,USZA300142,USZA300239,USZA300294,USZA300318,USZA300357,USZA300485,USZA300601,USZA300841,USZA301047,USZA301080,USZA301166,USZA301207,USZA301393,USHA600161,USHA600211,USHA600739,USHA600867,USHA603087,USHA603590,USHA688062,USHA688105,USHA688136,USHA688137,USHA688163,USHA688177,USHA688180,USHA688185,USHA688276,USHA688278,USHA688319,USHA688331,USHA688336,USHA688428,USHA688443,USHA688488,USHA688520,USHA688670,USHA688739,USHA688765,USHA688806,USHA688837,USTM920047,USTM920344,USTM920575"
URFI881134,食品加工制造,66,"USZA000529,USZA000639,USZA000716,USZA000895,USZA001215,USZA001219,USZA002216,USZA002330,USZA002495,USZA002507,USZA002515,USZA002557,USZA002582,USZA002626,USZA002650,USZA002661,USZA002695,USZA002702,USZA002719,USZA002726,USZA002820,USZA002840,USZA002847,USZA002956,USZA002991,USZA003000,USZA300146,USZA300783,USZA300791,USZA300908,USZA300973,USZA301116,USHA600073,USHA600186,USHA600298,USHA600305,USHT600381,USHT600530,USHA600872,USHA603027,USHA603043,USHA603057,USHA603102,USHA603170,USHA603237,USHA603262,USHA603288,USHA603317,USHA603345,USHT603517,USHA603536,USHA603696,USHA603697,USHA603719,USHA603755,USHA603777,USHA603866,USHA603886,USHA605089,USHA605338,USHA605339,USHA605567,USTM920273,USTM920429,USTM920726,USTM920826"
URFI881265,塑料制品,78,"USZA000859,USZA000920,USZA000973,USZA001255,USZA001333,USZA001378,USZA002108,USZA002263,USZA002324,USZA002361,USZA002395,USZA002522,USZA002585,USZA002632,USZA002768,USZA002825,USZA002838,USZA002886,USZA300180,USZA300218,USZA300221,USZA300230,USZA300243,USZA300305,USZA300321,USZA300334,USZA300478,USZA300487,USZA300538,USZA300539,USZA300586,USZA300644,USZA300717,USZA300806,USZA300834,USZA300920,USZA300980,USZA300995,USZA301003,USZA301019,USZA301090,USZA301092,USZA301131,USZA301196,USZA301216,USZA301237,USZA301395,USZA301538,USZA301555,USZA301565,USZA301588,USZA301591,USZA301686,USZA301687,USHA600135,USHA600143,USHA601026,USHA601208,USHA603330,USHA603580,USHA603879,USHA603928,USHA605008,USHA605488,USHA605589,USHA688203,USHA688219,USHA688323,USHA688386,USHA688585,USHA688669,USHA688716,USTM920028,USTM920056,USTM920066,USTM920089,USTM920469,USTM920871"
